                            name    tag dec  tag hex   imm     proc   memory
                 TUDPHeader.Size       3367      D27    -1   532640   A71A10
                   UDPSourcePort        194       C2    -1   532BBC        0
                     UDPDestPort        195       C3    -1   532BBC        0
                       UDPLength        196       C4    -1   532BBC        0
                    TBOOTPHeader          0        0    -1   533374  40DB630
               TBOOTPHeader.Size       3367      D27    -1   532640   A71A20
               BOOTPPattern.DHCP        197       C5    -1   532BBC        0
                     TDHCPHeader          0        0    -1   533374  40DC950
                TDHCPHeader.Size       3367      D27    -1   532640   A71A30
                    DHCPDiscover       3367      D27    -1   532640   A71A40
                       DHCPOffer       3367      D27    -1   532640   A71A50
                     DHCPRequest       3367      D27    -1   532640   A71A60
                         DHCPAck       3367      D27    -1   532640   A71A70
                         DHCPNak       3367      D27    -1   532640   A71A80
                      DHCPInform       3367      D27    -1   532640   A71A90
                      TTCPHeader          0        0    -1   533374  40DCCB0
                 TTCPHeader.Size       3367      D27    -1   532640   A71AA0
              IPv4Identification        201       C9    -1   532BBC        0
                 CurInputPointer        201       C9    -1   532BBC        0
                InputPacketStart        202       CA    -1   532BBC        0
                 InputPacketStop        203       CB    -1   532BBC        0
                  OutputPacket[]        204       CC    -1   532BBC        0
                OutputPacketSize       1744      6D0    -1   532BBC        0
                       MaxBlocks       3367      D27    -1   532640   A71AB0
                    Block.Addr[]       1745      6D1    -1   532BBC        0
                    Block.Size[]       1765      6E5    -1   532BBC        0
                     Block.Sum[]       1785      6F9    -1   532BBC        0
                          Blocks       1805      70D    -1   532BBC        0
                          pInEth       1806      70E    -1   532BBC        0
                           InEth       3367      D27    -1   532640   A71AC0
                   sizeof(InEth)       3367      D27    -1   532640   A71AD0
                  InEth.Preamble       3367      D27    -1   532640   A71AE0
                   InEth.DestMAC       3367      D27    -1   532640   A71AF0
                 InEth.SourceMAC       3367      D27    -1   532640   A71B00
                      InEth.Type       3367      D27    -1   532640   A71B10
                          pInARP       1807      70F    -1   532BBC        0
                           InARP       3367      D27    -1   532640   A71B20
                   sizeof(InARP)       3367      D27    -1   532640   A71B30
              InARP.HardwareType       3367      D27    -1   532640   A71B40
              InARP.ProtocolType       3367      D27    -1   532640   A71B50
                 InARP.MACLength       3367      D27    -1   532640   A71B60
                  InARP.IPLength       3367      D27    -1   532640   A71B70
                    InARP.Opcode       3367      D27    -1   532640   A71B80
                 InARP.SenderMAC       3367      D27    -1   532640   A71B90
                  InARP.SenderIP       3367      D27    -1   532640   A71BA0
